Titulo,Empresa,Anyo,Genero,Plataforma,Multijugador
Pinball Hall of Fame: The Gottlieb Collection,,2005,Action,Sony PSP,1
Harry Potter and the Goblet of Fire,EA,2005,Action,Nintendo DS,0
Tony Hawk's American Sk8land,Activision,2005,Sports,Nintendo DS,0
MVP Baseball,EA,2005,Sports,Sony PSP,0
Tiger Woods PGA Tour,EA,2005,Sports,Sony PSP,0
World Series of Poker,Activision,2005,"Sports,Strategy",Sony PSP,0
SSX on Tour,EA,2005,Sports,Sony PSP,0
Tiger Woods PGA Tour 06,EA,2005,Sports,Sony PSP,0
Death Jr.,Konami,2005,Action,Sony PSP,0
Harry Potter and the Goblet of Fire,EA,2005,Action,Sony PSP,0
MediEvil Resurrection,Sony,2005,Action,Sony PSP,0
"The Chronicles of Narnia: The Lion, the Witch a...",,2005,"Action,Role-Playing (RPG)",Nintendo DS,0
Shrek SuperSlam,Activision,2005,Action,Nintendo DS,0
Virtua Tennis: World Tour,Sega,2005,Sports,Sony PSP,0
Prince of Persia: Revelations,Ubisoft,2005,Action,Sony PSP,0
Burnout Legends,EA,2005,"Action,Racing / Driving",Nintendo DS,0
Meteos,Nintendo,2005,Strategy,Nintendo DS,0
Spyro: Shadow Legacy,,2005,Role-Playing (RPG),Nintendo DS,0
The Con,Sony,2005,Action,Sony PSP,0
Infected,,2005,Action,Sony PSP,0
Pursuit Force,Sony,2005,"Action,Racing / Driving",Sony PSP,0
Kingdom of Paradise,Sony,2005,"Action,Role-Playing (RPG)",Sony PSP,1
Dragon Ball Z: Supersonic Warriors 2,Atari,2005,Action,Nintendo DS,0
Dragon Quest Heroes: Rocket Slime,SquareEnix,2005,Action,Nintendo DS,0
Dead to Rights: Reckoning,Namco,2005,Action,Sony PSP,0
Amped 3,2K,2005,Sports,X360,0
Break 'em All,,2005,Action,Nintendo DS,0
Lunar: Dragon Song,Ubisoft,2005,Role-Playing (RPG),Nintendo DS,0
Madden NFL 06,EA,2005,Sports,Nintendo DS,0
Retro Atari Classics,Atari,2005,"Action,Racing / Driving,Simulation",Nintendo DS,0
True Swing Golf,Nintendo,2005,Sports,Nintendo DS,0
FIFA Soccer,EA,2005,Sports,Sony PSP,0
Metal Gear Ac!d 2,Konami,2005,Strategy,Sony PSP,0
ATV Quad Frenzy,,2005,"Racing / Driving,Sports",Nintendo DS,0
Bomberman,Ubisoft,2005,Strategy,Nintendo DS,0
GoldenEye: Rogue Agent,EA,2005,Action,Nintendo DS,0
Need for Speed Underground 2,EA,2005,Racing / Driving,Nintendo DS,0
Frogger: Helmet Chaos,Konami,2005,Action,Sony PSP,0
The Lord of the Rings: Tactics,EA,2005,"Role-Playing (RPG),Strategy",Sony PSP,0
Rengoku: The Tower of Purgatory,Konami,2005,"Action,Role-Playing (RPG)",Sony PSP,0
Gretzky NHL,Sony,2005,Sports,Sony PSP,1
Ridge Racer 6,"EA,Namco",2005,Racing / Driving,X360,1
Ford Racing 3,,2005,"Action,Racing / Driving",Nintendo DS,0
NHL 2K6 ,2K,2005,Sports,X360,0
Bust-a-Move DS,,2005,"Action,Strategy",Nintendo DS,0
Battles of Prince of Persia,Ubisoft,2005,Strategy,Nintendo DS,0
GripShift,Ubisoft,2005,Racing / Driving,Sony PSP,0
Marvel Nemesis: Rise of the Imperfects ,EA,2005,Action,Nintendo DS,0
Scooby-Doo! Unmasked,THQ,2005,Action,Nintendo DS,0
Viewtiful Joe: Double Trouble!,Capcom,2005,Action,Nintendo DS,0
The Legend of Heroes: A Tear of Vermillion,,2005,Role-Playing (RPG),Sony PSP,0
PQ: Practical Intelligence Quotient,,2005,Strategy,Sony PSP,0
Lost in Blue,Konami,2005,Role-Playing (RPG),Nintendo DS,0
Ghost in the Shell: Stand Alone Complex,Sony,2005,Action,Sony PSP,0
Dig Dug: Digging Strike,Namco,2005,Action,Nintendo DS,0
Frogger: Helmet Chaos,Konami,2005,Action,Nintendo DS,0
