Titulo,Empresa,Anyo,Genero,Plataforma,Multijugador
Gitaroo Man Lives!,,2006,Simulation,Sony PSP,0
Gradius Collection,Konami,2006,Action,Sony PSP,0
The Legend of Heroes II: Prophecy of the Moonli...,Namco,2006,Role-Playing (RPG),Sony PSP,0
Pac-Man World Rally,Namco,2006,"Action,Racing / Driving",Sony PSP,0
Bomberman: Act Zero,Konami,2006,Action,X360,0
Earth Defense Force 2017,,2006,Action,X360,1
WarTech: Senko no Ronde,Ubisoft,2006,Action,X360,1
MechAssault: Phantom War,,2006,Action,Nintendo DS,0
Astonishia Story,Ubisoft,2006,"Role-Playing (RPG),Strategy",Sony PSP,0
B-Boy,Sony,2006,Action,Sony PSP,0
BattleZone,Atari,2006,Action,Sony PSP,0
Bounty Hounds,Namco,2006,"Action,Strategy",Sony PSP,0
Bubble Bobble Evolution,,2006,Action,Sony PSP,0
MotoGP,Sony,2006,"Racing / Driving,Sports",Sony PSP,0
OutRun 2006: Coast 2 Coast,Sega,2006,Racing / Driving,Sony PSP,0
Warhammer: Battle for Atluma,Namco,2006,Strategy,Sony PSP,0
SBK: Snowboard Kids,,2006,"Action,Sports",Nintendo DS,0
Tenchu: Dark Secret,Nintendo,2006,Action,Nintendo DS,0
Dungeon Maker: Hunting Ground,,2006,"Action,Role-Playing (RPG)",Sony PSP,0
Metal Gear Solid: Digital Graphic Novel,Konami,2006,Adventure,Sony PSP,0
Star Trek: Tactical Assault,Ubisoft,2006,"Action,Strategy",Sony PSP,0
Micro Machines V4,,2006,"Action,Racing / Driving",Sony PSP,1
Platypus,,2006,Action,Sony PSP,1
Custom Robo Arena,Nintendo,2006,"Action,Role-Playing (RPG)",Nintendo DS,0
Gurumin: A Monstrous Adventure,,2006,Action,Sony PSP,0
Spider-Man 3,Ubisoft,2006,Action,Sony PSP,0
Wii Fit,Nintendo,2007,"Educational,Sports",Nintendo Wii,0
Halo 3,Microsoft,2007,Action,X360,1
Call of Duty 4: Modern Warfare,Activision,2007,Action,X360,1
Super Mario Galaxy,Nintendo,2007,Action,Nintendo Wii,1
Mario Party DS,Nintendo,2007,"Action,Strategy",Nintendo DS,0
Mario Party 8,Nintendo,2007,"Action,Strategy",Nintendo Wii,1
Guitar Hero III: Legends of Rock,Activision,2007,"Action,Simulation",X360,1
Link's Crossbow Training,Nintendo,2007,Action,Nintendo Wii,0
Guitar Hero III: Legends of Rock,Activision,2007,"Action,Simulation",Nintendo Wii,1
Assassin's Creed,Ubisoft,2007,Action,X360,0
LEGO Star Wars: The Complete Saga,,2007,Action,Nintendo Wii,1
Call of Duty 4: Modern Warfare,Activision,2007,Action,PlayStation 3,1
Mario & Sonic at the Olympic Games,"Nintendo,Sega",2007,"Action,Sports",Nintendo Wii,1
LEGO Star Wars: The Complete Saga,,2007,"Action,Racing / Driving",Nintendo DS,0
Forza Motorsport 2,Microsoft,2007,Racing / Driving,X360,1
Madden NFL 08,EA,2007,Sports,X360,1
Guitar Hero II,Activision,2007,"Action,Simulation",X360,1
Rock Band,,2007,"Action,Simulation",X360,1
The Legend of Zelda: Phantom Hourglass,Nintendo,2007,Action,Nintendo DS,0
Pokmon Mystery Dungeon: Explorers of Darkness,Nintendo,2007,Role-Playing (RPG),Nintendo DS,0
Pokmon Mystery Dungeon: Explorers of Time,Nintendo,2007,Role-Playing (RPG),Nintendo DS,0
Assassin's Creed,Ubisoft,2007,Action,PlayStation 3,0
Uncharted: Drake's Fortune,Sony,2007,Action,PlayStation 3,0
Mass Effect,Microsoft,2007,"Action,Role-Playing (RPG)",X360,0
Cooking Mama 2: Dinner with Friends,,2007,Simulation,Nintendo DS,0
BioShock,2K,2007,Action,X360,0
Super Paper Mario,Nintendo,2007,"Action,Role-Playing (RPG)",Nintendo Wii,0
Game Party,Midway,2007,Action,Nintendo Wii,1
Ratchet & Clank: Size Matters,Sony,2007,Action,Sony PSP,0
Dance Dance Revolution Hottest Party,Konami,2007,Action,Nintendo Wii,1
Cooking Mama: Cook Off,,2007,Simulation,Nintendo Wii,1
Gran Turismo 5: Prologue,Sony,2007,"Racing / Driving,Simulation",PlayStation 3,1
Professor Layton and the Curious Village,Nintendo,2007,"Adventure,Educational,Strategy",Nintendo DS,0
Resident Evil 4,Capcom,2007,Action,Nintendo Wii,0
The Elder Scrolls IV: Oblivion,Ubisoft,2007,"Action,Role-Playing (RPG)",PlayStation 3,0
Transformers: Autobots,Activision,2007,"Action,Racing / Driving",Nintendo DS,0
Transformers: Decepticons,Activision,2007,"Action,Racing / Driving",Nintendo DS,0
Diddy Kong Racing DS,Nintendo,2007,"Racing / Driving,Sports",Nintendo DS,0
Big Brain Academy: Wii Degree,Nintendo,2007,Action,Nintendo Wii,1
Need for Speed: ProStreet,EA,2007,Racing / Driving,X360,1
Deal or No Deal,,2007,Strategy,Nintendo DS,0
LEGO Star Wars: The Complete Saga,,2007,Action,X360,1
Sonic and the Secret Rings,Sega,2007,Action,Nintendo Wii,1
The Orange Box,,2007,Action,X360,0
Crackdown,Microsoft,2007,"Action,Racing / Driving,Role-Playing (RPG)",X360,0
Rock Band,,2007,"Action,Simulation",PlayStation 3,1
Tiger Woods PGA Tour 08,EA,2007,Sports,Nintendo Wii,1
WWE Smackdown vs. Raw 2008,THQ,2007,Sports,X360,1
Madden NFL 08,EA,2007,Sports,PlayStation 3,1
Call of Duty 4: Modern Warfare,Activision,2007,Action,Nintendo DS,0
MySims,EA,2007,"Simulation,Strategy",Nintendo Wii,0
Mario Strikers Charged,Nintendo,2007,"Action,Sports",Nintendo Wii,1
Star Wars Battlefront: Renegade Squadron,,2007,Action,Sony PSP,0
Flash Focus: Vision Training in Minutes a Day,Nintendo,2007,Action,Nintendo DS,0
Metroid Prime 3: Corruption,Nintendo,2007,Action,Nintendo Wii,0
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,Ubisoft,2007,Action,X360,0
Madden NFL 08,EA,2007,Sports,Nintendo Wii,1
Ratchet & Clank Future: Tools of Destruction,Sony,2007,Action,PlayStation 3,0
LEGO Star Wars: The Complete Saga,,2007,Action,PlayStation 3,1
Rayman Raving Rabbids 2,Ubisoft,2007,Action,Nintendo Wii,1
NBA 2K8 ,2K,2007,Sports,X360,0
Namco Museum DS,Namco,2007,Action,Nintendo DS,0
Need for Speed: ProStreet,EA,2007,Racing / Driving,PlayStation 3,1
Blazing Angels: Squadrons of WWII,Ubisoft,2007,Action,Nintendo Wii,1
Drawn to Life,THQ,2007,Action,Nintendo DS,0
EA Playground,EA,2007,"Action,Racing / Driving,Sports",Nintendo Wii,1
Major League Baseball 2K7,2K,2007,Sports,X360,1
Resident Evil: The Umbrella Chronicles,"Capcom,Nintendo",2007,Action,Nintendo Wii,1
NCAA Football 08,EA,2007,Sports,X360,1
Spectrobes,,2007,"Action,Strategy",Nintendo DS,0
The Sims 2: Castaway,EA,2007,Simulation,Nintendo DS,0
WWE Smackdown vs. Raw 2008,THQ,2007,Sports,PlayStation 3,1
Madden NFL 08,EA,2007,Sports,Sony PSP,0
NBA Live 08,EA,2007,Sports,PlayStation 3,1
The Simpsons Game,EA,2007,Action,Nintendo DS,0
Ace Combat 6: Fires of Liberation,Namco,2007,"Action,Simulation",X360,0
Heavenly Sword,Sony,2007,Action,PlayStation 3,0
Ninja Gaiden Sigma,,2007,Action,PlayStation 3,0
Ben 10: Protector of the Earth,,2007,Action,Nintendo Wii,0
The Simpsons Game,EA,2007,Action,X360,1
CrossworDS,,2007,"Educational,Strategy",Nintendo DS,0
Sonic Rush Adventure,Sega,2007,"Action,Sports",Nintendo DS,0
Tiger Woods PGA Tour 08,EA,2007,Sports,X360,1
Tony Hawk's Proving Ground,Activision,2007,Sports,X360,1
Call of Duty: Roads to Victory,Activision,2007,Action,Sony PSP,0
Transformers: The Game,Activision,2007,Action,X360,0
NBA 2K8,2K,2007,Sports,PlayStation 3,1
Medal of Honor: Heroes 2,EA,2007,Action,Sony PSP,0
Spider-Man 3,Activision,2007,Action,X360,0
Tom Clancy's Rainbow Six: Vegas,Ubisoft,2007,Action,PlayStation 3,1
Need for Speed: ProStreet,EA,2007,Racing / Driving,Nintendo Wii,1
NBA LIVE 08 ,EA,2007,Sports,X360,0
Dance Dance Revolution Universe 2,Konami,2007,Action,X360,1
MX vs. ATV Untamed,THQ,2007,Racing / Driving,X360,1
Final Fantasy IV,SquareEnix,2007,Role-Playing (RPG),Nintendo DS,0
NBA Street Homecourt,EA,2007,Sports,X360,1
The Simpsons Game,EA,2007,Action,Nintendo Wii,1
Winter Sports: The Ultimate Challenge,,2007,"Racing / Driving,Sports",Nintendo Wii,0
WWE Smackdown vs. Raw 2008,THQ,2007,Sports,Sony PSP,1
Tiger Woods PGA Tour 07,EA,2007,Sports,Nintendo Wii,1
Crash of the Titans,,2007,Action,Nintendo DS,0
Sonic Rivals 2,Sega,2007,Action,Sony PSP,0
Boogie,EA,2007,Action,Nintendo Wii,1
Medal of Honor: Airborne,EA,2007,Action,X360,1
The Sims 2: Castaway,EA,2007,Simulation,Nintendo Wii,0
Spider-Man 3,Activision,2007,Action,Nintendo Wii,0
Lost Odyssey,Microsoft,2007,Role-Playing (RPG),X360,0
Bee Movie Game,Activision,2007,Adventure,Nintendo DS,0
Spider-Man 3,Activision,2007,Action,Nintendo DS,0
Final Fantasy Tactics,SquareEnix,2007,"Role-Playing (RPG),Strategy",Sony PSP,0
Endless Ocean,Nintendo,2007,Simulation,Nintendo Wii,0
SingStar,Sony,2007,Simulation,PlayStation 3,1
Ratatouille,THQ,2007,Action,Nintendo Wii,0
The Sims 2: Pets,EA,2007,Simulation,Nintendo Wii,0
Two Worlds,,2007,"Action,Role-Playing (RPG)",X360,0
Crash of the Titans,,2007,Action,Nintendo Wii,1
Sonic the Hedgehog,Sega,2007,Action,X360,1
Mega Man Star Force: Dragon,Capcom,2007,"Action,Role-Playing (RPG)",Nintendo DS,0
Sonic the Hedgehog,Sega,2007,Action,PlayStation 3,1
Harry Potter and the Order of the Phoenix,EA,2007,Action,Nintendo Wii,0
Nicktoons: Attack of the Toybots,THQ,2007,Action,Nintendo Wii,0
WWE Smackdown vs. Raw 2008,THQ,2007,Sports,Nintendo Wii,1
The Simpsons Game,EA,2007,Action,PlayStation 3,1
DiRT,,2007,"Racing / Driving,Simulation,Sports",X360,0
Kane & Lynch: Dead Men,Eidos,2007,Action,X360,1
Jam Sessions,Ubisoft,2007,"Educational,Simulation",Nintendo DS,0
Monster Hunter Freedom 2,Capcom,2007,"Action,Strategy",Sony PSP,0
Shadowrun,Microsoft,2007,Action,X360,0
Thrillville: Off the Rails,,2007,"Simulation,Strategy",Nintendo Wii,1
Tony Hawk's Proving Ground,Activision,2007,Sports,PlayStation 3,1
My Word Coach,Ubisoft,2007,Educational,Nintendo DS,0
The World Ends With You,SquareEnix,2007,"Action,Adventure,Role-Playing (RPG)",Nintendo DS,0
The BIGS,2K,2007,"Action,Simulation,Sports",Nintendo Wii,1
NCAA Football 08,EA,2007,Sports,PlayStation 3,1
Final Fantasy Tactics A2: Grimoire of the Rift,SquareEnix,2007,"Role-Playing (RPG),Strategy",Nintendo DS,0
Beowulf: The Game,Ubisoft,2007,Action,X360,0
The Darkness,2K,2007,Action,X360,0
Tom Clancy's Ghost Recon: Advanced Warfighter 2...,Ubisoft,2007,Action,PlayStation 3,1
Final Fantasy,SquareEnix,2007,Role-Playing (RPG),Sony PSP,0
Lair,Sony,2007,Action,PlayStation 3,0
Transformers: The Game,Activision,2007,Action,Nintendo Wii,0
Command & Conquer 3: Tiberium Wars,EA,2007,Strategy,X360,0
Overlord,,2007,"Action,Strategy",X360,0
Diner Dash,,2007,Action,Nintendo DS,0
Medal of Honor: Heroes 2,EA,2007,Action,Nintendo Wii,0
MX vs. ATV Untamed,THQ,2007,Racing / Driving,PlayStation 3,1
Time Crisis 4,Namco,2007,Action,PlayStation 3,1
Dragon Ball Z: Budokai Tenkaichi 3,Atari,2007,Action,Nintendo Wii,1
Final Fantasy XII: Revenant Wings,SquareEnix,2007,"Role-Playing (RPG),Strategy",Nintendo DS,0
SOCOM: U.S. Navy SEALs - Tactical Strike,Sony,2007,"Action,Strategy",Sony PSP,0
Unreal Tournament III,Midway,2007,Action,PlayStation 3,0
Bee Movie Game,Activision,2007,Action,Nintendo Wii,1
Def Jam: Icon,EA,2007,Action,X360,1
Transformers: The Game,Activision,2007,Action,PlayStation 3,0
TimeShift,,2007,Action,X360,0
SSX Blur,EA,2007,Sports,Nintendo Wii,1
Bleach: The Blade of Fate,Sega,2007,Action,Nintendo DS,0
EA Playground,EA,2007,"Racing / Driving,Sports",Nintendo DS,0
Final Fantasy II,SquareEnix,2007,Role-Playing (RPG),Sony PSP,0
The Eye of Judgment,Sony,2007,Strategy,PlayStation 3,1
MLB 07: The Show,Sony,2007,Sports,PlayStation 3,1
Virtua Fighter 5,Sega,2007,Action,PlayStation 3,1
NiGHTS: Journey of Dreams,Sega,2007,Action,Nintendo Wii,1
Puzzle Quest: Challenge of the Warlords,,2007,"Role-Playing (RPG),Strategy",Nintendo DS,0
NBA Live 08,EA,2007,Sports,Sony PSP,0
Kane & Lynch: Dead Men,Eidos,2007,Action,PlayStation 3,1
Crash of the Titans,,2007,Action,X360,1
Harry Potter and the Order of the Phoenix,EA,2007,Action,Nintendo DS,0
SimCity DS,EA,2007,Simulation,Nintendo DS,0
Wario: Master of Disguise,Nintendo,2007,Action,Nintendo DS,0
No More Heroes,Ubisoft,2007,"Action,Racing / Driving",Nintendo Wii,0
BlackSite: Area 51,Midway,2007,Action,X360,0
Shrek the Third,Activision,2007,Action,X360,1
Shrek the Third,Activision,2007,Adventure,Nintendo DS,0
Surf's Up,Ubisoft,2007,"Racing / Driving,Sports",Nintendo DS,0
MLB 07: The Show,Sony,2007,Sports,Sony PSP,0
TMNT,Ubisoft,2007,Action,X360,0
Spider-Man: Friend or Foe,Activision,2007,Action,X360,1
Contra 4,Konami,2007,Action,Nintendo DS,0
Phoenix Wright: Ace Attorney - Trials and Tribu...,Capcom,2007,"Adventure,Simulation",Nintendo DS,0
Disney Pirates of the Caribbean: At World's End,Disney,2007,Action,Nintendo DS,0
Dragon Ball Z: Shin Budokai - Another Road,"Atari,Namco",2007,Action,Sony PSP,0
Spider-Man 3,Activision,2007,Action,PlayStation 3,0
The Golden Compass,Sega,2007,Action,X360,0
Stuntman: Ignition,THQ,2007,"Action,Racing / Driving",X360,1
Chicken Shoot,,2007,Action,Nintendo Wii,1
Shrek the Third,Activision,2007,Action,Nintendo Wii,1
DK: Jungle Climber,Nintendo,2007,"Action,Strategy",Nintendo DS,0
Dragon Quest IV: Chapters of the Chosen,SquareEnix,2007,Role-Playing (RPG),Nintendo DS,0
300: March to Glory,Eidos,2007,Action,Sony PSP,0
Fire Emblem: Radiant Dawn,Nintendo,2007,"Role-Playing (RPG),Strategy",Nintendo Wii,0
The Golden Compass,Sega,2007,Action,Nintendo Wii,0
Manhunt 2,Rockstar,2007,Action,Nintendo Wii,0
NASCAR 08,EA,2007,"Racing / Driving,Sports",X360,0
Virtua Tennis 3,Sega,2007,Sports,PlayStation 3,1
All-Pro Football 2K8,2K,2007,Sports,X360,1
Major League Baseball 2K7,2K,2007,Sports,PlayStation 3,1
The Warriors,Rockstar,2007,Action,Sony PSP,0
Ghost Rider,2K,2007,Action,Sony PSP,1
Tony Hawk's Proving Ground,Activision,2007,Sports,Nintendo Wii,1
Juiced 2: Hot Import Nights,THQ,2007,Racing / Driving,X360,1
Juiced 2: Hot Import Nights,THQ,2007,Racing / Driving,Nintendo DS,0
The Simpsons Game,EA,2007,Action,Sony PSP,0
Syphon Filter: Logan's Shadow,Sony,2007,"Action,Strategy",Sony PSP,0
Tiger Woods PGA Tour 08,EA,2007,Sports,PlayStation 3,1
Ratatouille,THQ,2007,Action,X360,1
Trauma Center: New Blood,Nintendo,2007,"Action,Simulation",Nintendo Wii,1
Hotel Dusk: Room 215,Nintendo,2007,Adventure,Nintendo DS,0
Mega Man ZX Advent,Capcom,2007,Action,Nintendo DS,0
Silent Hill: 0rigins,Konami,2007,Action,Sony PSP,0
Harry Potter and the Order of the Phoenix,EA,2007,Action,X360,0
NHL 08 ,EA,2007,Sports,X360,0
Castlevania: The Dracula X Chronicles,Konami,2007,Action,Sony PSP,1
Tony Hawk's Proving Ground,Activision,2007,Sports,Nintendo DS,0
Jeanne d'Arc,Sony,2007,"Role-Playing (RPG),Strategy",Sony PSP,0
BWii: Battalion Wars 2,Nintendo,2007,"Action,Simulation,Strategy",Nintendo Wii,0
Battlestations: Midway,Eidos,2007,"Action,Strategy",X360,0
Dragon Ball Z: Harukanaru Densetsu,Atari,2007,Strategy,Nintendo DS,0
Touch the Dead,,2007,Action,Nintendo DS,0
The Darkness,2K,2007,Action,PlayStation 3,0
Donkey Kong Barrel Blast,Nintendo,2007,Racing / Driving,Nintendo Wii,1
The BIGS,2K,2007,"Action,Simulation,Sports",X360,1
Armored Core 4,Sega,2007,Action,X360,1
Etrian Odyssey,Nintendo,2007,Role-Playing (RPG),Nintendo DS,0
Ben 10: Protector of the Earth,,2007,Action,Sony PSP,0
Tom Clancy's Splinter Cell: Double Agent,Ubisoft,2007,"Action,Strategy",PlayStation 3,0
Looney Tunes: Acme Arsenal,,2007,Action,Nintendo Wii,0
Zack & Wiki: Quest for Barbaros' Treasure,Capcom,2007,Adventure,Nintendo Wii,0
Monster Jam,Activision,2007,Sports,X360,1
Virtua Fighter 5,Sega,2007,Action,X360,1
Lunar Knights,Konami,2007,Action,Nintendo DS,0
Enchanted Arms,Ubisoft,2007,Role-Playing (RPG),PlayStation 3,0
F.E.A.R.: First Encounter Assault Recon,,2007,Action,PlayStation 3,0
Folklore,Sony,2007,"Action,Role-Playing (RPG)",PlayStation 3,0
Juiced 2: Hot Import Nights,THQ,2007,Racing / Driving,PlayStation 3,0
The Elder Scrolls IV: Shivering Isles,,2007,"Action,Role-Playing (RPG)",X360,0
NHL 08,EA,2007,Sports,PlayStation 3,1
NCAA 07 March Madness,EA,2007,Sports,X360,1
Rayman Raving Rabbids,Ubisoft,2007,Action,X360,1
Viva Pi$?ata: Party Animals,Microsoft,2007,Racing / Driving,X360,1
Warriors Orochi,,2007,"Action,Role-Playing (RPG)",X360,1
Luminous Arc,,2007,"Role-Playing (RPG),Strategy",Nintendo DS,0
Picross DS,Nintendo,2007,Strategy,Nintendo DS,0
Harry Potter and the Order of the Phoenix,EA,2007,Action,PlayStation 3,0
College Hoops 2K7,2K,2007,Sports,PlayStation 3,1
The BIGS,2K,2007,"Action,Simulation,Sports",PlayStation 3,1
Stuntman: Ignition,THQ,2007,"Action,Racing / Driving",PlayStation 3,1
Mortal Kombat: Armageddon,Midway,2007,"Action,Racing / Driving",Nintendo Wii,1
Def Jam: Icon,EA,2007,Action,PlayStation 3,1
Soulcalibur Legends,Namco,2007,Action,Nintendo Wii,1
Surf's Up,Ubisoft,2007,Sports,Nintendo Wii,1
Planet Puzzle League,Nintendo,2007,Strategy,Nintendo DS,0
DiRT,,2007,"Racing / Driving,Simulation,Sports",PlayStation 3,0
TMNT,Ubisoft,2007,Action,Nintendo Wii,0
Soldier of Fortune: Payback,Activision,2007,Action,X360,0
Dynasty Warriors: Gundam,Namco,2007,Action,PlayStation 3,1
Disney Pirates of the Caribbean: At World's End,Disney,2007,Action,PlayStation 3,1
Bee Movie Game,Activision,2007,Action,X360,1
Dynasty Warriors: Gundam,Namco,2007,Action,X360,1
Golden Axe,Sega,2007,Action,X360,1
Dementium: The Ward,,2007,Action,Nintendo DS,0
Rondo of Swords,,2007,"Role-Playing (RPG),Strategy",Nintendo DS,0
Disgaea: Afternoon of Darkness,,2007,"Role-Playing (RPG),Strategy",Sony PSP,0
NASCAR 08,EA,2007,"Racing / Driving,Sports",PlayStation 3,0
Dragon Quest Swords: The Masked Queen and the T...,SquareEnix,2007,Action,Nintendo Wii,0
Call of Juarez,Ubisoft,2007,Action,X360,0
College Hoops 2K8,2K,2007,Sports,X360,0
Eternal Sonata,Namco,2007,Role-Playing (RPG),X360,0
Kingdom Under Fire: Circle of Doom,Microsoft,2007,"Action,Role-Playing (RPG)",X360,0
Vampire Rain,Microsoft,2007,Action,X360,0
All-Pro Football 2K8,2K,2007,Sports,PlayStation 3,1
Mercury Meltdown,,2007,Strategy,Nintendo Wii,1
Conan,THQ,2007,"Action,Adventure",PlayStation 3,0
Godzilla: Unleashed,Atari,2007,Action,Nintendo Wii,0
NBA Live 08,EA,2007,Sports,Nintendo Wii,0
Conan,THQ,2007,"Action,Adventure",X360,0
Spider-Man: Friend or Foe,Activision,2007,Action,Nintendo Wii,1
College Hoops 2K8,2K,2007,Sports,PlayStation 3,1
NBA 08,Sony,2007,Sports,PlayStation 3,1
Thrillville: Off the Rails,,2007,"Simulation,Strategy",X360,1
Geometry Wars: Galaxies,,2007,Action,Nintendo DS,0
Rayman Raving Rabbids,Ubisoft,2007,Action,Nintendo DS,0
WordJong,,2007,Strategy,Nintendo DS,0
"Warhammer 40,000: Squad Command",THQ,2007,Strategy,Sony PSP,0
Beowulf: The Game,Ubisoft,2007,Action,PlayStation 3,0
The Golden Compass,Sega,2007,Action,PlayStation 3,0
Scarface: The World is Yours,,2007,"Action,Racing / Driving",Nintendo Wii,0
Hot Wheels: Beat That!,Activision,2007,"Action,Racing / Driving",X360,0
NHL 2K8 ,2K,2007,Sports,X360,0
NBA Street Homecourt,EA,2007,Sports,PlayStation 3,1
Geometry Wars: Galaxies,,2007,Action,Nintendo Wii,1
Final Fantasy: Crystal Chronicles - Echoes of Time,SquareEnix,2007,Action,Nintendo DS,0
Godzilla Unleashed: Double Smash,Atari,2007,Action,Nintendo DS,0
MX vs. ATV Untamed,THQ,2007,Racing / Driving,Nintendo DS,0
WWE SmackDown vs. Raw 2008,THQ,2007,Sports,Nintendo DS,0
The BIGS,2K,2007,"Action,Simulation,Sports",Sony PSP,0
Brave Story: New Traveler,,2007,Role-Playing (RPG),Sony PSP,0
WipEout Pulse,Sony,2007,"Action,Racing / Driving",Sony PSP,0
TimeShift,,2007,Action,PlayStation 3,0
Star Trek: Conquest,,2007,"Action,Strategy",Nintendo Wii,0
Beautiful Katamari,Namco,2007,Action,X360,0
Hour of Victory,Midway,2007,Action,X360,0
Fantastic Four: Rise of the Silver Surfer,2K,2007,Action,PlayStation 3,1
SEGA Rally Revo,Sega,2007,"Racing / Driving,Simulation",X360,1
7 Wonders of the Ancient World,,2007,Strategy,Nintendo DS,0
Draglade,,2007,Action,Nintendo DS,0
Final Fantasy Fables: Chocobo Tales,SquareEnix,2007,Action,Nintendo DS,0
Marvel Trading Card Game,Konami,2007,Strategy,Nintendo DS,0
Crazy Taxi: Fare Wars,Sega,2007,"Action,Racing / Driving",Sony PSP,0
The Golden Compass,Sega,2007,Action,Sony PSP,0
Harry Potter and the Order of the Phoenix,EA,2007,Action,Sony PSP,0
Bladestorm: The Hundred Years' War,,2007,"Action,Role-Playing (RPG),Strategy",PlayStation 3,0
Surf's Up,Ubisoft,2007,Sports,X360,1
Blazing Angels 2: Secret Missions of WWII,Ubisoft,2007,Action,X360,1
InuYasha: Secret of the Divine Jewel,Namco,2007,Role-Playing (RPG),Nintendo DS,0
The Settlers,Ubisoft,2007,Strategy,Nintendo DS,0
Shrek the Third,Activision,2007,Action,Sony PSP,0
Ratatouille,THQ,2007,Action,PlayStation 3,0
Soldier of Fortune: Payback,Activision,2007,Action,PlayStation 3,0
Heatseeker,,2007,Action,Nintendo Wii,0
NHL 2K8,,2007,Sports,PlayStation 3,1
NCAA March Madness 08,EA,2007,Sports,PlayStation 3,1
Fantastic Four: Rise of the Silver Surfer,2K,2007,Action,X360,1
Monster Madness: Battle for Suburbia,,2007,Action,X360,1
Pro Evolution Soccer 2008,Konami,2007,Sports,X360,1
Blazing Angels 2: Secret Missions of WWII,Ubisoft,2007,Action,PlayStation 3,1
Cake Mania,,2007,Action,Nintendo DS,0
River King: Mystic Valley,,2007,"Adventure,Simulation,Sports",Nintendo DS,0
Touch Detective 2 1/2,,2007,Adventure,Nintendo DS,0
7 Wonders of the Ancient World,,2007,Strategy,Sony PSP,0
Brooktown High,Konami,2007,Simulation,Sony PSP,0
Crush,Sega,2007,Action,Sony PSP,0
Jackass: The Game,,2007,Action,Sony PSP,0
The Sims 2: Castaway,EA,2007,Simulation,Sony PSP,0
Test Drive Unlimited,Atari,2007,Racing / Driving,Sony PSP,0
Thrillville: Off the Rails,,2007,"Simulation,Strategy",Sony PSP,0
Victorious Boxers: Revolution,Ubisoft,2007,"Action,Simulation,Sports",Nintendo Wii,0
Bladestorm: The Hundred Years' War,,2007,"Action,Role-Playing (RPG),Strategy",X360,0
Looney Tunes: Acme Arsenal,,2007,Action,X360,1
SEGA Rally Revo,Sega,2007,"Racing / Driving,Simulation",PlayStation 3,1
Death Jr. and the Science Fair of Doom,Konami,2007,Action,Nintendo DS,0
Indianapolis 500 Legends,,2007,Racing / Driving,Nintendo DS,0
Worms: Open Warfare 2,THQ,2007,"Action,Strategy",Nintendo DS,0
Alien Syndrome,Sega,2007,Action,Sony PSP,0
BlackSite: Area 51,Midway,2007,Action,PlayStation 3,0
Code Lyoko: Quest for Infinity,,2007,Action,Nintendo Wii,0
Super Swing Golf Season 2,,2007,Sports,Nintendo Wii,0
FlatOut: Ultimate Carnage,,2007,Racing / Driving,X360,0
Zoids Assault,,2007,"Role-Playing (RPG),Strategy",X360,0
Alien Syndrome,Sega,2007,Action,Nintendo Wii,1
Tetris Evolution,THQ,2007,Strategy,X360,1
Heroes of Mana,SquareEnix,2007,Strategy,Nintendo DS,0
Myst,Midway,2007,Adventure,Nintendo DS,0
Coded Arms: Contagion,Konami,2007,Action,Sony PSP,0
King of Clubs,,2007,Sports,Nintendo Wii,0
F.E.A.R. Files,,2007,Action,X360,0
Ontamarama,,2007,Action,Nintendo DS,0
Retro Game Challenge,Namco,2007,"Action,Racing / Driving,Role-Playing (RPG)",Nintendo DS,0
Ultimate Mortal Kombat 3,Midway,2007,Action,Nintendo DS,0
"Warhammer 40,000: Squad Command",THQ,2007,Strategy,Nintendo DS,0
Juiced 2: Hot Import Nights,THQ,2007,Racing / Driving,Sony PSP,0
Pursuit Force: Extreme Justice,Sony,2007,"Action,Racing / Driving",Sony PSP,0
Medal of Honor: Vanguard,EA,2007,Action,Nintendo Wii,0
World Series of Poker 2008: Battle for the Brac...,Activision,2007,Simulation,X360,0
Pro Evolution Soccer 2008,Konami,2007,Sports,PlayStation 3,1
Worms: Open Warfare 2,THQ,2007,"Action,Strategy",Sony PSP,1
Surf's Up,Ubisoft,2007,Sports,PlayStation 3,1
Fantastic Four: Rise of the Silver Surfer,2K,2007,Action,Nintendo Wii,1
Brothers in Arms DS,Ubisoft,2007,Action,Nintendo DS,0
Bubble Bobble Double Shot,,2007,Action,Nintendo DS,0
Fantastic Four: Rise of the Silver Surfer,2K,2007,Action,Nintendo DS,0
Zendoku,Eidos,2007,"Role-Playing (RPG),Strategy",Nintendo DS,0
Heatseeker,,2007,Action,Sony PSP,0
Manhunt 2,Rockstar,2007,Action,Sony PSP,0
SWAT: Target Liberty,,2007,"Action,Strategy",Sony PSP,0
Anubis II,,2007,Action,Nintendo Wii,0
Barnyard,THQ,2007,"Action,Adventure",Nintendo Wii,0
Escape from Bug Island,Eidos,2007,Action,Nintendo Wii,0
Octomania,,2007,"Action,Strategy",Nintendo Wii,0
Cabela's Big Game Hunter,Activision,2007,"Simulation,Sports",X360,0
UEFA Champions League 2006-2007,EA,2007,Sports,X360,1
Aliens Vs Predator: Requiem,,2007,Action,Sony PSP,1
NBA 08,Sony,2007,Sports,Sony PSP,1
Guilty Gear XX ? Core,,2007,Action,Nintendo Wii,1
Arkanoid DS,SquareEnix,2007,Strategy,Nintendo DS,0
